,child,parent
450,EPB41L2,888
451,DNM1,877
452,871,963
453,PAK2,920
454,ELAVL4,877
455,900,915
456,PHF12,866
457,TLE1,934
458,CHD4,887
459,888,927
460,SFSWAP,901
461,MACROD2,902
462,DEFB124,884
463,CCNT1,963
464,HIST3H3,872
465,UNC80,961
466,GABPB2,963
467,PIN1P1,945
468,ARHGEF10L,845
469,ATRX,868
470,FEZF2,864
471,CALN1,845
472,NEO1,890
473,SCAF8,882
474,CCDC149,963
475,TMEM268,963
476,PPP6R3,962
477,885,961
478,PKN2,905
479,PRDM4,862
480,VPS13B,889
481,ZNF223,878
482,KDM6B,876
483,899,937
484,881,919
485,BCORL1,900
486,FOXO3B,934
487,C7orf69,902
488,ADGRL2,850
489,KDM7A,963
490,905,947
491,SBNO1,963
492,ZNF532,963
493,PHF3,868
494,KIAA1109,889
495,JMJD1C,947
496,BCL11A,934
497,IPO8,963
498,PDZD7,963
499,914,963
500,HIST2H3D,873
501,ZC3H4,949
502,USP25,948
503,PHF19,908
504,NR2E3,963
505,RNF186,878
506,FNBP4,912
507,ATP2B4,896
508,RYR3,852
509,DACT3,847
510,PCGF2,869
511,PHF20L1,959
512,IGF1R,913
513,HECTD4,901
514,RBM4B,936
515,BORCS8-MEF2B,963
516,844,897
517,NEFL,852
518,ATP5SL,904
